"Allergens  Menu Items                                                                                                   Salt located on tables contain Salt, Dextrose, Potassium Iodide, Sodium Bicarbonate, Yellow Prussiate of Soda.  Salt used in kitchen is  Morton Coarse Kosher Salt [Salt, Yellow Prussiate of Soda].   Mycoprotein is a old.(member of the fungi family. There have been rare cases of allergic reactin to products that contain Mycoprotein. Quorn™ is a Mycoprotein produced using a fermentation process very similar to brewing; the solid is harvested as opposed to the liquid. Processed in a facility that handles milk.                                     ",,Egg,Fish/ Shellfish,"Nitrites, Nitrate, Sodium Erythrobate, Carrageenan ",Corn in original form,"Corn Syrup, Corn Flour or meal, Corn Starch",Corn oil,Corn Variations,Vinegar,Milk/Dairy,MSG,Soybean  Oil,Soy Lecithin,Soy,Tree Nuts/Peanuts,Peanut oil,Capers,Sesame,"Wheat, Barley, Rye, Oats","Lima,lentil, Fava,                   black eyed peas,             garbanzo beans ",Mushroom, Yeast or Spice Extract ,Hydrolyzed Protein,Yeast,Nonorganic Cane Sugar,White Rice,Brown Rice,White Potato all forms,Mint,Cinnamon,Fruit,Cucumber,Tomato,Natural Flavor,Sunflower oil,Sunflower Lecithin,Sunflower Seed,Garlic,Onion,Bell Pepper,Turmeric,Mustard,Cocoa or Chocolate,Red Dye,Yellow Dye,Alcohol,Pork,Chicken,Beef,Turkey,Phenylketonurics,Ingredients,,,,,,,,,,,,,,,,,,,,,,,,
         Allergy Alerts                                                                                                                                                                                                                                      All deep fried items have cross contact risk                                                                    (All pasta has possible cross-contact w/eggs in manufacture),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vegalene Top 9 Allergen Free Canola Pan Spray [Canola Oil, Canola Lecithin, Mono - and Diglycerides, Natural Flavor, and Propellant]used in all areas.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desserts available on purple Cart in Home area for Gluten Free and Top 8 free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%Sizzle%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Taco Shells and Bowls are Fried. All fried items have Cross contact with other allergens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%Casa Del Sol%,,,,,,All Fried Items fried in same fryer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tortillas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 6in White Corn Tortilla (50g) Manufactured in a Facility That Processes Soy and Wheat,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,lime,,,,,,,,,,,,,,,,,,,,,"Rudy’s Food Products 6” Die Cut White Corn Tortilla [Stone Ground Yellow and White Corn, Water, Contains 2% or less of: Guar Gum, Preservatives (Propionic Acid, Phosphoric Acid, Methylparaben and Propylparaben) and Trace of Food Grade Lime. Manufactured in a Facility That Processes Soy and Wheat", , , , ,,,,,,,,,,,,,,,,,,,,
 10in. Flour Tortilla (69g),,,,,,,,X,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mission 10” Pressed Flour Tortilla: Enriched Bleached Flour (Wheat) (Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Vegetable Shortening Interesterified and Hydrogenated Soybean Oils, contains 2% or less of: Salt, Baking Soda, Sodium Acid Pyrophosphate, Distilled Monoglycerides, Enzymes, Cellulose Gum, Fumaric Acid, and Calcium Propionate and Sorbic Acid to Maintain Freshness. Contains: Wheat, Soybean Oil", , , , , ,,,,,,,,,,,,,,,,,,,
Nacho Chips (fried) (28g) (Manufactured in Facility that processes wheat),,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,lime,,,,,,,,,,,,,,,,,,,,,"Rudy's Food Products Raw 4 Cut White Corn Tortilla Chip [Whole White Corn, water, contains 2% or less of Cellulose and/or Guar Gum, To Maintain Freshness Propionic Acid, Phosphoric Acid, Methyl & Propylparaben and a Trace of Lime. Manufactured in Facility that processes Wheat], Deep Fried in Mel-Fry Essential Cottonseed/Canola 60/40 Blend Fry Oil [Cottonseed Oil, Canola Oil, TBHQ and Citric Acid Added to Protect Flavor, Dimethylpolysiloxane, An Anti-Foaming Agent Added], ", , , , , , , , , , , , , , , , , , , , ,,,,
"6"" Flour Tortilla",,,,,,,,X,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"Del Pasado 6” Pressed Flour Tortilla [Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron Thiamin Mononitrate, Riboflavin, Folic Acid), Water, Palm Oil, [contains 2% or less of: Tortilla Mix (Salt, Vital Wheat Gluten, Leavening (Sodium Bicarbonate, Sodium Aluminum Sulfate, Sodium Aluminum Phosphate), Preservative (Calcium Propionate), Dextrose, Dough Conditioners (Monoglycerides, Mono-and Diglycerides, Enzymes, Sodium Metabisulfite), Fumaric Acid, Guar Gum, Sorbic Acid). Contains Wheat]. Contains: Wheat",,,,,,,,,,,,,,,,,,,,,,,,
***If food allergic  nachos will have Tostitos Tortilla Chips**,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,"Corn, Vegetable Oil Corn, Canola and/or Sunflower Oil, And Salt. ***If food allergic, nachos will have Tostitos Tortilla Chips**: ",,,,,,,,,,,,,,,,,,,,,,,,
Beans & Rice:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Black Beans (may contain Soy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,"Del Pasado Black Beans [Black Beans, Water, Salt, Calcium Chloride, And Ferrous Gluconate. May Contain Soy], Yellow Onions, Cilantro, Morton Coarse Kosher Salt [Salt, Yellow Prussiate of Soda],",,,,,,,,,,,,,,,,,,,,,,,,
 Refried Beans (4oz),,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Santiago Low Sodium Vegetarian Refried Beans [Pinto beans (dry), salt], Water", ,,,,,,,,,,,,,,,,,,,,,,,
 Mexican Style Rice (1cup),,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,X,,,,,X,X,X,,,,,,,,,,,,"Water, Woodland Foods Dried Spanish Rice [Rice, Salt, Spices, Contains: 2% Percent or Less of Canola Oil, Onion, Dried Chiles, Bell Pepper, Celery, Tomato, Sugar, Garlic, Paprika, Carrot.]", , , , , , , , , , , , , , , , , , , ,  ,,,,
Meats and Entrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fajita Chicken ,,,,,,,,X,,,,X,,X,,,,,X,,,,,,,,,,,,"lime, pineapple",,,,,,,X,X,,,,,,,,,X,,,,"Tyson Tenderpressed Chicken Breast [containing: up to 15% of a solution of Water and Sea Salt.], Marinade: Roseli Canola/Extra Virgin Olive Oil Blend, ReàLime Juice [Lime Juice from Concentrate (Water, Lime Juice Concentrate), Sodium Benzoate (Preservative), Lime Oil, Sodium Metabisulfite (Preservative).], Dole Pineapple Juice [Pineapple Juice from Concentrate (Water, Pineapple Juice Concentrate), Ascorbic Acid (Vitamin C), Vitamin E, And Vitamin A.], Kikkoman Soy Sauce [Water, Wheat, Soybeans, Salt, Sodium Benzoate: Less Than ⅒  of 1% as a Preservative, Mixing Agent], Tulkoff Foods Garlic In Oil [Garlic, Water, Soybean Oil, Phosphoric Acid Preservative. Contains: Naturally Occurring Sulfites], Black Pepper, Cayenne Pepper. Contains Wheat, Soy",,,,,,,,,,,,,,,,,,,,,,,,
Shredded Chicken,,,,,,X,,,distilled,X,,X,,,,,,,,,,,corn,,X,,,,,,"lime, pineapple",,X,X,,X,,X,X,X,X,,,,,,,X,,,,"Couch's Chicken Tinga {Phase Butter Alternate [Liquid And Hydrogenated Soybean Oil, contains less than 2% of Salt, Sunflower Lecithin, Natural Flavor, Beta Carotene (Color)], Yellow Onion, Green and Red Bell Pepper, Jalapeno Pepper, Koch Boneless Skinless Chicken Thigh [Fryer Chicken Thighs Boneless, Skinless Halal Certified X000d Slaughtered According to Islamic Rules Contains Up To 3% Retained Water], Tulkoff Chopped Garlic in Oil (Garlic, Water, Soybean Oil, Phosphoric Acid. Contains: Naturally Occurring Sulfites), Black Pepper, Couch Taco Seasoning {Cumin, Monarch Mild Chili Powder (Chili Pepper and other Spices, Salt, Garlic Powder), Onion Powder, Coriander, Lawry’s Seasoning Salt {Salt, Sugar, Spices (Including Paprika and Turmeric), Onion, Cornstarch, Garlic, Tricalcium Phosphate (Prevents Caking), Natural Flavor, Paprika Oleoresin (for Color)}, Water, Molly's Kitchen Chicken Base Paste [Roasted Chicken, Salt, Hydrolyzed Corn Protein, Sugar, Chicken Fat, Flavorings, Corn Syrup Solids, Disodium Inosinate, Disodium Guanylate, Extractive of Turmeric and Annatto (Color), Sodium Caseinate (Milk), Carrageenan. Contains Milk], Ro*Tel Diced Tomatoes w/Green Chili [Tomatoes, Water, Chopped Green Chili Peppers, less than 2% of: Lime Juice Concentrate, Cilantro, Salt, Dried Onion, Calcium Chloride, Natural Flavor, Granulated Garlic, Cumin, Citric Acid,]}. Contains: Milk, Soybean Oil",,,,,,,,,,,,,,,,,,,,,,,,
 Seasoned Taco Meat ,,,,,,X,,,distilled,,,X,,,,,,,X,,,,,,X,,,,,,,,X,X,,,,X,X,,X,,,,,,,,X,,,"Cattleman's Selection 81/19 Ground Beef (Ground Beef), Water, Cumin, Monarch Mild Chili Powder [Chili Pepper and Other Spices, Salt, and Garlic Powder], Monarch Onion Powder [Dehydrated Onion], Garlic Powder [Dehydrated Garlic], Monarch Coriander [Coriander], Pace Medium Picante Sauce [Crushed Tomatoes Water, Crushed Tomato Concentrate, Water, Jalapeno Peppers, Onions, Distilled Vinegar, Dehydrated Onions, Salt, Garlic, Natural Flavoring.], Lawry’s Seasoning Salt [Salt, Sugar, Spices (Including Paprika and Turmeric), Onion, Cornstarch, Garlic, Tricalcium Phosphate (Prevents Caking), Natural Flavor, Paprika Oleoresin (For Color)] ",,,,,,,,,,,,,,,,,,,,,,,,
  Beef Fajita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,X,,,"John Soules Foods Skirt Steak [ Beef, Solution Ingredients: Water, Seasoning Salt ( salt, spice, onion, powder, garlic powder, bromelain), sodium phosphate], Roseli Canola/Extra Virgin Olive Oil",,,,,,,,,,,,,,,,,,,,,,,,
Pedro's Shredded Beef Tamale (2ea) (Contains lard),,,,,X,X,,,,,,X,X,,,,,,,,,spice,,,,,,,,,lime,,,,,,,X,,,,,,,,,,,X,,,"Pedro's Shredded Beef Tamale Masa (Water, Ground Corn with Traces of Lime, Soybean Oil), Salt, Paprika (Natural Extractives of Paprika), Garlic (Natural Extractives of Garlic), Filling: Beef, Beef Broth, Masa Gravy (Beef Broth, Water, Corn with Traces of Lime), less than 2% Ancho, Salt, Seasonings (Natural Spice Extractives with Mono- and Diglycerides, Paprika (Natural Extractives of Paprika), Soybean Oil, DATEM, and Soy Lecithin.  Contains Soy",,,,,,,,,,,,,,,,,,,,,,,,
 Spicy Fried Meat pie (1ea.),,X,,,,,,X,,X,,X,,,,,,,X,,,,,,,,,,,,citric acid,,,,,,,X,X,,,,,,,,X,,X,,,"Natchitoches Spicy Meat Pie [Dough: All Purpose Enriched Flour Bleached (Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid) Water, Pie Shortening (Palm Oil and Soybean Oil with Mono and Diglycerides Added), Eggs (Whole Eggs, Egg Whites, Citric Acid, 0.15 Water added as a carrier for Citric Acid, Citric Acid Added to Preserve Color, Salt, Sweet Dairy Whey (Milk). Filling: Beef, Pork, Water, Yellow Onions, All Purpose Flour Bleached (Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Green Onions, Salt, Garlic, Crushed Red Pepper, Parsley and Ground Red Pepper. Deep Fried Harvest Value Liquid Canola Oil [Canola Oil with TBHQ to help protect flavor. Dimethylpolysiloxane, an antifoaming agent, added].  Contains: Egg, Milk, Soybean Oil and Wheat",,,,,,,,,,,,,,,,,,,,,,,,
Chicken Taquito,,,,,,X,,,,,,,,X,,,,,X,,,,,,,,,,,,citric acid,,,,,,,X,X,,,,,,,,,X,,,,"Del Pasado Chicken Taquito [Water, Stone Ground Corn Masa Flour (With Trace of Lime), Cooked Chicken (Chicken, Water, Modified Food Starch, Salt, Sodium Phosphate), Green Chile Peppers (Green Chiles, Water, Citric Acid)., Textured Vegetable Protein (Soy Flour). Contains Less Than 2% of: Onions, Seasoning (Salt, Spice, Garlic and Onion Powder, Paprika), Chicken Flavor [Salt, Maltodextrin, Sugar, Chicken Fat, Whey (Milk), Vegetable Stock [Carrot, Onion, Celery], Flavors and Turmeric], Distilled Vinegar, Wheat Flour, Modified Food Starch, Guar Gum. Prefried In Vegetable Oil.]. Contains Milk, Soy, Wheat",,,,,,,,,,,,,,,,,,,,,,,,
